0,1,2,3,4,5
Appendix 5. Reference values for energy intake and requirement for,,,,,
adults according to physical activity level1,,,,,
"Age,","Weight2,","BMR3,","Sedentary,",Average,Active
years,kg,MJ,PAL4 1.4 MJ,"exercise,","exercise,"
,,per day,per day,PAL 1.6 MJ,PAL 1.8 MJ
,,,,per day,per day
Women,,,,,
18–24,64.2,5.9,8.3,9.4,10.6
25–50,64.1,5.7,8.0,9.0,10.2
51–70,62.5,5.2,7.2,8.3,9.3
> 70,60.6,5.1,7.1,8.2,9.2
Pregnant,,,,,
women5,,,,,
1st,64.1,5.7,8.2,9.3,10.5
pregnancy,,,,,
trimester,,,,,
2nd,69.0,5.7,9.1,10.2,11.4
pregnancy,,,,,
trimester,,,,,
3nd,75.2,5.7,10.2,11.3,12.5
pregnancy,,,,,
trimester,,,,,
Lactating,,,,,
women6,,,,,
≤ 50,64.1,7.8,10.9,11.0,14.1
Men,,,,,
18–24,75.2,7.4,10.4,11.8,13.2
25–50,74.8,7.1,9.9,11.3,12.7
51–70,73.0,6.4,9.0,10.3,11.6
> 70,70.6,6.3,8.8,10.1,11.3
