0,1,2,3,4,5,6
Annex 11a. Average requirements or provisional average requirements*,,,,,,
for vitamins and choline by age group,,,,,,
Age group,Vitamin A,Vitamin D,Vitamin E,Vitamin K,Choline,Vitamin C
,RE2,µg3,α-TE4*,µg*,mg*,mg
≤ 6 months1,,,3,,96,25
7–11 months,200,7.5,4,5,134,25
1–3 years,240,7.5,6,10,119,20
4–6 years,270,7.5,7,15,139,30
7–10 years,340,7.5,7,25,199,45
Women,,,,,,
11–14 years,490,7.5,8,35,276,60
15–17 years,500,7.5,9,45,310,75
18–24 years,540,7.5,8,50,320,75
25–50 years,540,7.5,8,50,320,75
51–70 years,530,7.5,8,50,320,75
> 70 years,510,7.5,8,50,320,75
Pregnant,590,7.5,9,60,381,75
women,,,,,,
Lactating,"1,060",7.5,9,50,416,75
women,,,,,,
Men,,,,,,
11–14 years,520,7.5,10,40,259,65
15–17 years,600,7.5,9,50,318,85
18–24 years,630,7.5,9,60,320,90
25–50 years,630,7.5,9,60,320,90
51–70 years,610,7.5,9,60,320,90
> 70 years,590,7.5,9,55,320,90
